,Movie Title,Revenue,popularity,vote_count,vote_average,language,genre_ids
0,Avengers: Endgame,858373000,60.263,11429,8.3,en,"[28, 12, 878]"
1,Avatar,760507625,30.91,20405,7.4,en,"[28, 12, 14, 878]"
2,Black Panther,700059566,41.837,14346,7.4,en,"[28, 12, 14, 878]"
3,Avengers: Infinity War,678815482,102.134,16915,8.3,en,"[28, 12, 878]"
4,Titanic,659363944,34.914,16038,7.8,en,"[18, 53, 10749]"
5,Jurassic World,652270625,25.096,15093,6.6,en,"[28, 12, 878, 53]"
6,The Avengers,623357910,36.001,21598,7.7,en,"[28, 12, 878]"
7,The Avengers,623357910,10.842,394,4.3,en,"[53, 878]"
8,Incredibles 2,608581744,26.831,7724,7.5,en,"[28, 12, 16, 10751]"
9,The Lion King,543638043,47.839,4593,7.1,en,"[12, 10751]"
10,The Lion King,543638043,29.836,11703,8.3,en,"[16, 18, 10751]"
11,The Lion King,422783777,47.839,4593,7.1,en,"[12, 10751]"
12,The Lion King,422783777,29.836,11703,8.3,en,"[16, 18, 10751]"
13,The Dark Knight,535234033,47.473,21107,8.4,en,"[28, 80, 18, 53]"
14,Rogue One: A Star Wars Story,532177324,20.049,10403,7.5,en,"[28, 12, 878]"
15,Beauty and the Beast,504014165,35.697,11956,6.9,en,"[14, 10749, 10751]"
16,Beauty and the Beast,504014165,29.467,6455,7.7,en,"[10749, 10751, 16, 14]"
17,Beauty and the Beast,504014165,9.997,1391,5.9,fr,"[14, 10749]"
18,Beauty and the Beast,504014165,8.574,307,7.6,fr,"[18, 14, 10749]"
19,Beauty and the Beast,218967620,35.697,11956,6.9,en,"[14, 10749, 10751]"
20,Beauty and the Beast,218967620,29.467,6455,7.7,en,"[10749, 10751, 16, 14]"
21,Beauty and the Beast,218967620,9.997,1391,5.9,fr,"[14, 10749]"
22,Beauty and the Beast,218967620,8.574,307,7.6,fr,"[18, 14, 10749]"
23,Finding Dory,486295561,17.592,8640,7.0,en,"[12, 16, 35, 10751]"
24,Frozen II,477103922,167.497,2654,7.1,en,"[12, 16, 10751]"
25,Star Wars: Episode I - The Phantom Menace,474544677,17.465,9133,6.4,en,"[12, 28, 878]"
26,Avengers: Age of Ultron,459005868,37.723,15103,7.3,en,"[28, 12, 878]"
27,The Dark Knight Rises,448139099,32.332,15369,7.7,en,"[28, 80, 18, 53]"
28,Shrek 2,441226247,20.999,7117,7.0,en,"[12, 16, 35, 10751, 14]"
29,E.T. the Extra-Terrestrial,435110554,18.707,7285,7.5,en,"[878, 12, 10751, 14]"
30,Toy Story 4,434038008,35.065,3780,7.5,en,"[12, 16, 35, 14, 10751]"
31,Captain Marvel,426829839,50.014,8402,7.0,en,"[28, 12, 878]"
32,The Hunger Games: Catching Fire,424668047,21.239,12175,7.4,en,"[28, 12, 878]"
33,Pirates of the Caribbean: Dead Man's Chest,423315812,29.457,10433,7.2,en,"[28, 12, 14]"
34,Jurassic World: Fallen Kingdom,417719760,32.984,6985,6.5,en,"[28, 12, 878]"
35,Toy Story 3,415004880,24.846,9660,7.8,en,"[16, 35, 10751]"
36,Wonder Woman,412563408,36.339,13955,7.3,en,"[28, 12, 14]"
37,Wonder Woman,412563408,10.759,278,7.3,en,"[28, 12, 16, 878]"
38,Iron Man 3,409013994,22.086,15553,6.9,en,"[28, 12, 878]"
39,Captain America: Civil War,408084349,41.478,15503,7.4,en,"[28, 12, 878]"
40,The Hunger Games,408010692,13.506,15800,7.1,en,"[12, 14, 878]"
41,Spider-Man,407022860,25.66,11186,7.1,en,"[28, 14]"
42,Jumanji: Welcome to the Jungle,404540171,29.279,8616,6.7,en,"[28, 12, 35, 14]"
43,Jurassic Park,402828120,16.692,10143,7.9,en,"[12, 878]"
44,Frozen,400738009,48.484,11208,7.3,en,"[12, 16, 10751]"
45,Frozen,400738009,13.373,1134,5.8,en,[53]
46,Spider-Man: Far from Home,390532085,49.928,6141,7.5,en,"[28, 12, 878]"
47,Guardians of the Galaxy Vol. 2,389813101,33.765,14131,7.6,en,"[28, 12, 35, 878]"
48,Harry Potter and the Deathly Hallows: Part 2,381409310,29.928,12954,8.1,en,"[12, 14]"
49,Finding Nemo,380843261,33.589,12954,7.8,en,"[16, 10751]"
50,Star Wars: Episode III - Revenge of the Sith,380270577,18.83,8547,7.3,en,"[28, 12, 878]"
51,The Lord of the Rings: The Return of the King,377845905,36.597,14716,8.4,en,"[28, 12, 14]"
52,Spider-Man 2,373585825,10.081,9094,7.0,en,"[28, 12, 14]"
53,The Passion of the Christ,370782930,15.303,1980,7.1,en,[18]
54,Despicable Me 2,368065385,28.91,7993,6.9,en,"[16, 35, 10751]"
55,The Jungle Book,364001123,24.174,5800,6.8,en,"[12, 18, 10751, 14]"
56,The Jungle Book,364001123,17.701,4056,7.3,en,"[12, 16, 10751]"
57,The Jungle Book,364001123,7.876,268,5.8,en,"[12, 18, 10751]"
58,The Jungle Book,141843612,24.174,5800,6.8,en,"[12, 18, 10751, 14]"
59,The Jungle Book,141843612,17.701,4056,7.3,en,"[12, 16, 10751]"
60,The Jungle Book,141843612,7.876,268,5.8,en,"[12, 18, 10751]"
61,The Jungle Book,43229904,24.174,5800,6.8,en,"[12, 18, 10751, 14]"
62,The Jungle Book,43229904,17.701,4056,7.3,en,"[12, 16, 10751]"
63,The Jungle Book,43229904,7.876,268,5.8,en,"[12, 18, 10751]"
64,Deadpool,363070709,40.677,21916,7.6,en,"[28, 12, 35]"
65,Inside Out,356461711,35.259,14190,7.9,en,"[16, 35, 18, 10751]"
66,Aladdin,355559216,53.752,4939,7.0,en,"[12, 35, 14, 10749, 10751]"
67,Aladdin,355559216,32.31,7423,7.6,en,"[16, 10751, 12, 14, 10749]"
68,Aladdin,217350219,53.752,4939,7.0,en,"[12, 35, 14, 10749, 10751]"
69,Aladdin,217350219,32.31,7423,7.6,en,"[16, 10751, 12, 14, 10749]"
70,Furious 7,353007020,22.437,7141,7.3,en,"[28, 53]"
